Project, Author, java.lang.Throwable, android.graphics.Paint, android.app.Activity, int, float, android.view.MotionEvent, java.util.Collection, java.io.FileOutputStream, java.util.Date, boolean, android.content.res.Resources, java.io.FileInputStream, java.lang.String, java.text.SimpleDateFormat, jp.mixi.compatibility.android.widget.BufferType, android.app.admin.DevicePolicyManager, java.util.List, android.net.Uri, android.widget.ArrayAdapter, jp.mixi.compatibility.android.widget.ArrayAdapter, long, java.lang.Boolean, android.hardware.Camera.CameraInfo, android.content.Intent, android.content.Context, android.database.ContentObserver, android.util.Pair, android.content.ContentValues, MapsApiType, android.view.GestureDetector, java.lang.reflect.Method, jp.mixi.compatibility.widget.ArrayAdapterCompatTest$DummyArrayAdapter, java.lang.Class, android.database.Cursor, java.nio.channels.FileChannel, T, jp.mixi.compatibility.webkit.WebViewCompatTest$DummyWebView, java.lang.reflect.Field, android.accounts.Account, android.view.View, android.content.pm.PackageManager, jp.mixi.compatibility.android.provider.MediaStoreCompat$PhotoContent, android.webkit.WebView, jp.mixi.compatibility.android.view.ViewCompatTest$MockView, java.util.ArrayList, android.content.ContextWrapper, android.util.AttributeSet, android.os.Bundle, java.lang.reflect.Array, jp.mixi.compatibility.android.provider.MediaStoreCompat.PhotoContent, android.os.Handler, java.io.File, android.content.ContentResolver, android.media.ExifInterface, android.graphics.Bitmap, java.lang.CharSequence, 
Android-Device-Compatibility/, genichiro.sugawara, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Android-Device-Compatibility/, Yuya, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Android-Device-Compatibility/, KeithYokoma, 2, 1, 1, 14, 2, 3, 0, 2, 1, 1, 0, 2, 28, 1, 0, 0, 2, 3, 2, 0, 8, 0, 1, 3, 8, 1, 0, 1, 0, 1, 2, 0, 1, 2, 2, 0, 0, 0, 2, 1, 1, 3, 1, 0, 1, 0, 2, 2, 2, 1, 1, 6, 1, 2, 1, 0, 
Android-Device-Compatibility/, Jun, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Android-Device-Compatibility/, Kentaro, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Android-Device-Compatibility/, koya.tamura, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Android-Device-Compatibility/, Hideyuki, 0, 9, 0, 11, 2, 3, 4, 0, 5, 7, 2, 0, 24, 0, 0, 0, 4, 0, 4, 0, 0, 0, 1, 0, 10, 0, 3, 0, 0, 1, 4, 4, 1, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 0, 12, 0, 0, 0, 0, 0, 4, 0, 
Android-Device-Compatibility/, hideyuki.kikuma, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Android-Device-Compatibility/, Ryusuke, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Android-Device-Compatibility/, takimo(Shinya, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Android-Device-Compatibility/, Shusuke, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Android-Device-Compatibility/, Vishal, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Android-Device-Compatibility/, Keith, 0, 1, 2, 26, 0, 0, 3, 4, 2, 4, 0, 4, 45, 3, 2, 0, 1, 6, 2, 6, 13, 2, 0, 4, 24, 2, 0, 2, 0, 0, 4, 0, 3, 4, 4, 6, 0, 2, 2, 1, 2, 6, 1, 0, 2, 2, 4, 2, 5, 2, 2, 16, 2, 4, 1, 4, 
Android-Device-Compatibility/, Keishin, 2, 4, 1, 19, 2, 3, 3, 2, 3, 5, 1, 2, 41, 2, 1, 1, 1, 3, 0, 2, 8, 1, 0, 2, 20, 1, 1, 1, 0, 1, 1, 2, 1, 2, 2, 4, 1, 1, 2, 1, 1, 3, 1, 2, 1, 1, 4, 2, 6, 1, 1, 8, 1, 2, 3, 2, 
Android-Device-Compatibility/, Guillaume, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
